content,score,casefold,remove noise,slang,stopwords,stopwords2,stem,sentiment,topic
"Barusan update hari ini ...kayaknya sudah bisa beli 1lot...nanti saya coba jam 9, terima kasih",4,"barusan update hari ini ...kayaknya sudah bisa beli 1lot...nanti saya coba jam 9, terima kasih",barusan update hari ini kayaknya sudah bisa beli lot nanti saya coba jam terima kasih,barusan pembaruan hari ini kayaknya sudah bisa beli lot nanti saya coba jam terima kasih,barusan pembaruan kayaknya beli lot coba jam terima kasih,barusan pembaruan kayaknya beli lot coba jam terima kasih,barusan baru kayak beli lot coba jam terima kasih,pos,4
"Aplikasi yang sangat bermanfaat bagi anda yang baru mulai mengenal dunia saham, fiturnya sangat lengkap bahkan anda dapat bertransaksi dengan real account untuk live trading dan virtual account untuk demo belajar trading",5,"aplikasi yang sangat bermanfaat bagi anda yang baru mulai mengenal dunia saham, fiturnya sangat lengkap bahkan anda dapat bertransaksi dengan real account untuk live trading dan virtual account untuk demo belajar trading",aplikasi yang sangat bermanfaat bagi anda yang baru mulai mengenal dunia saham fiturnya sangat lengkap bahkan anda dapat bertransaksi dengan real account untuk live trading dan virtual account untuk demo belajar trading,aplikasi yang sangat bermanfaat bagi anda yang baru mulai mengenal dunia saham fiturnya sangat lengkap bahkan anda dapat bertransaksi dengan real account untuk live trading dan virtual account untuk demo belajar trading,aplikasi bermanfaat mengenal dunia saham fiturnya lengkap bertransaksi real account live trading virtual account demo belajar trading,aplikasi bermanfaat mengenal dunia saham fiturnya lengkap bertransaksi real account live trading virtual account demo belajar trading,aplikasi manfaat kenal dunia saham fiturnya lengkap transaksi real account live trading virtual account demo ajar trading,pos,3
asyiiiikkk dan keren banget ini Stockbit,5,asyiiiikkk dan keren banget ini stockbit,asyiikk dan keren banget ini stockbit,asyiikk dan keren banget ini stockbit,asyiikk keren banget stockbit,asyiikk keren banget stockbit,asyiikk keren banget stockbit,pos,2
"Bagus untuk liat saham, walaupun usernya suka buang isu aneh semua",5,"bagus untuk liat saham, walaupun usernya suka buang isu aneh semua",bagus untuk liat saham walaupun usernya suka buang isu aneh semua,bagus untuk lihat saham walaupun usernya suka buang isu aneh semua,bagus lihat saham usernya suka buang isu aneh,bagus lihat saham usernya suka buang isu aneh,bagus lihat saham usernya suka buang isu aneh,pos,3
"Sempat gk bisa akses ke portofolio, tapi syukurnya kembali normal, respon admin nya cepat banget, untuk masalah saya yang padahal belum ada sehari, tunggu beberapa jam udah normal lagi. Kayaknya saya yang terlalu cepat panik, maaf ya min 😁",5,"sempat gk bisa akses ke portofolio, tapi syukurnya kembali normal, respon admin nya cepat banget, untuk masalah saya yang padahal belum ada sehari, tunggu beberapa jam udah normal lagi. kayaknya saya yang terlalu cepat panik, maaf ya min 😁",sempat gk bisa akses ke portofolio tapi syukurnya kembali normal respon admin nya cepat banget untuk masalah saya yang padahal belum ada sehari tunggu beberapa jam udah normal lagi kayaknya saya yang terlalu cepat panik maaf ya min,sempat tidak bisa akses ke portofolio tapi syukurnya kembali normal respon admin nya cepat banget untuk masalah saya yang padahal belum ada sehari tunggu beberapa jam sudah normal lagi kayaknya saya yang terlalu cepat panik maaf iya min,tidak akses portofolio syukurnya normal respon admin cepat banget belum sehari tunggu jam normal kayaknya cepat panik maaf iya min,akses portofolio syukurnya normal respon admin cepat banget sehari tunggu jam normal kayaknya cepat panik maaf iya min,tidak akses portofolio syukur normal respon admin cepat banget belum hari tunggu jam normal kayak cepat panik maaf iya min,pos,6
"terimakasih stockbit, akun virtualnya sangat bermanfaat untuk belajar trading n mudah dipahami untuk trader pemula seperti saya. tingkatkan lg",5,"terimakasih stockbit, akun virtualnya sangat bermanfaat untuk belajar trading n mudah dipahami untuk trader pemula seperti saya. tingkatkan lg",terimakasih stockbit akun virtualnya sangat bermanfaat untuk belajar trading n mudah dipahami untuk trader pemula seperti saya tingkatkan lg,terima kasih stockbit akun virtualnya sangat bermanfaat untuk belajar trading dan mudah dipahami untuk trader pemula seperti saya tingkatkan lagi,terima kasih stockbit akun virtualnya bermanfaat belajar trading mudah dipahami trader pemula tingkatkan,terima kasih stockbit akun virtualnya bermanfaat belajar trading mudah dipahami trader pemula tingkatkan,terima kasih stockbit akun virtual manfaat ajar trading mudah paham trader mula tingkat,pos,2
"Hari ini dana saya sudah di RDN cash on hand mau dibelikan saham atau tarik dana, saya pilih tarik dana karena ada keperluan, tetapi harus menunggu -2 hari kerja, PADAHAL RDN SAYA BCA DAN SAYA TARIK DANA KE BCA JUGA KENAPA HARUS MENUNGGU padahal kemarin"" saya wd malam pun bisa CUSTOMER SERVICENYA PAYAH",5,"hari ini dana saya sudah di rdn cash on hand mau dibelikan saham atau tarik dana, saya pilih tarik dana karena ada keperluan, tetapi harus menunggu -2 hari kerja, padahal rdn saya bca dan saya tarik dana ke bca juga kenapa harus menunggu padahal kemarin"" saya wd malam pun bisa customer servicenya payah",hari ini dana saya sudah di rdn cash on hand mau dibelikan saham atau tarik dana saya pilih tarik dana karena ada keperluan tetapi harus menunggu hari kerja padahal rdn saya bca dan saya tarik dana ke bca juga kenapa harus menunggu padahal kemarin saya wd malam pun bisa customer servicenya payah,hari ini dana saya sudah di rdn cash on hand mau dibelikan saham atau tarik dana saya pilih tarik dana karena ada keperluan tetapi harus menunggu hari kerja padahal rdn saya baca dan saya tarik dana ke baca juga kenapa harus menunggu padahal kemarin saya wd malam pun bisa customer servicenya payah,dana rdn cash on hand dibelikan saham tarik dana pilih tarik dana keperluan menunggu kerja rdn baca tarik dana baca menunggu kemarin wd malam customer servicenya payah,dana rdn cash on hand dibelikan saham tarik dana pilih tarik dana keperluan menunggu kerja rdn baca tarik dana baca menunggu kemarin wd malam customer servicenya payah,dana rdn cash on hand beli saham tarik dana pilih tarik dana perlu tunggu kerja rdn baca tarik dana baca tunggu kemarin wd malam customer servicenya payah,pos,5
"Layanan chat yang sangat bagus dan responsif dan UI tidak ada iklan embel"" share, iklan dan lainnya. Saran untuk penempatan menu ipo aja yang kurang bagus",5,"layanan chat yang sangat bagus dan responsif dan ui tidak ada iklan embel"" share, iklan dan lainnya. saran untuk penempatan menu ipo aja yang kurang bagus",layanan chat yang sangat bagus dan responsif dan ui tidak ada iklan embel share iklan dan lainnya saran untuk penempatan menu ipo aja yang kurang bagus,layanan chat yang sangat bagus dan responsif dan oi tidak ada iklan embel bagikan iklan dan lainnya saran untuk penempatan menu ipo saja yang kurang bagus,layanan chat bagus responsif oi tidak iklan embel bagikan iklan saran penempatan menu ipo bagus,layanan chat bagus responsif oi iklan embel bagikan iklan saran penempatan menu ipo bagus,layan chat bagus responsif oi tidak iklan embel bagi iklan saran tempat menu ipo bagus,pos,3
sangat berguna bagi saya dengan informasi yang banyak dari ahli dan pom2ers,5,sangat berguna bagi saya dengan informasi yang banyak dari ahli dan pom2ers,sangat berguna bagi saya dengan informasi yang banyak dari ahli dan pom ers,sangat berguna bagi saya dengan informasi yang banyak dari ahli dan pom ers,berguna informasi ahli pom ers,berguna informasi ahli pom ers,guna informasi ahli pom ers,pos,1
Mantap cocok buat pemula,5,mantap cocok buat pemula,mantap cocok buat pemula,mantap cocok buat pemula,mantap cocok pemula,mantap cocok pemula,mantap cocok mula,pos,1
Masih kalah cepat server nya dengan sekuritas lain,4,masih kalah cepat server nya dengan sekuritas lain,masih kalah cepat server nya dengan sekuritas lain,masih kalah cepat server nya dengan sekuritas lain,kalah cepat server sekuritas,kalah cepat server sekuritas,kalah cepat server sekuritas,pos,0
Aplikasinya Mudah di Gunakan,5,aplikasinya mudah di gunakan,aplikasinya mudah di gunakan,aplikasinya mudah di gunakan,aplikasinya mudah,aplikasinya mudah,aplikasi mudah,pos,0
Mantap. Dan mudah dimengerti untu pemula seperti saya,5,mantap. dan mudah dimengerti untu pemula seperti saya,mantap dan mudah dimengerti untu pemula seperti saya,mantap dan mudah dimengerti untu pemula seperti saya,mantap mudah dimengerti untu pemula,mantap mudah dimengerti untu pemula,mantap mudah erti untu mula,pos,1
Ok bagus info lengkap,5,ok bagus info lengkap,ok bagus info lengkap,oke bagus informasi lengkap,oke bagus informasi lengkap,oke bagus informasi lengkap,oke bagus informasi lengkap,pos,1
"Aplikasi terbaikLah, sayangnya suruh migrasi ke S***t,, semangat min, kerjasama dengan Bang Gede aja supaya lebih mudah dijangkau member",5,"aplikasi terbaiklah, sayangnya suruh migrasi ke s***t,, semangat min, kerjasama dengan bang gede aja supaya lebih mudah dijangkau member",aplikasi terbaiklah sayangnya suruh migrasi ke s t semangat min kerjasama dengan bang gede aja supaya lebih mudah dijangkau member,aplikasi terbaiklah sayangnya suruh migrasi ke si t semangat min kerja sama dengan bang gede saja supaya lebih mudah dijangkau member,aplikasi terbaiklah sayangnya suruh migrasi si t semangat min kerja bang gede mudah dijangkau member,aplikasi terbaiklah sayangnya suruh migrasi si t semangat min kerja bang gede mudah dijangkau member,aplikasi baik sayang suruh migrasi si t semangat min kerja bang gede mudah jangkau member,pos,0
Mantap cs nya fast respon . D layani tengah malam sampai subuh. Terbaik 😊,5,mantap cs nya fast respon . d layani tengah malam sampai subuh. terbaik 😊,mantap cs nya fast respon d layani tengah malam sampai subuh terbaik,mantap rekan nya fast respon di layani tengah malam sampai subuh terbaik,mantap rekan fast respon layani malam subuh terbaik,mantap rekan fast respon layani malam subuh terbaik,mantap rekan fast respon layan malam subuh baik,pos,1
Semoga bisa kayak sosal invest buka rekening dan copytrade bisa dilakukan di stockbit,5,semoga bisa kayak sosal invest buka rekening dan copytrade bisa dilakukan di stockbit,semoga bisa kayak sosal invest buka rekening dan copytrade bisa dilakukan di stockbit,semoga bisa kayak sosal investasi buka rekening dan copytrade bisa dilakukan di stockbit,semoga kayak sosal investasi buka rekening copytrade stockbit,semoga kayak sosal investasi buka rekening copytrade stockbit,moga kayak sosal investasi buka rekening copytrade stockbit,pos,2
"Membantu pemula, banyak juga analisis dari para pendahulu berpengalaman",5,"membantu pemula, banyak juga analisis dari para pendahulu berpengalaman",membantu pemula banyak juga analisis dari para pendahulu berpengalaman,membantu pemula banyak juga analisis dari para pendahulu berpengalaman,membantu pemula analisis pendahulu berpengalaman,membantu pemula analisis pendahulu berpengalaman,bantu mula analisis dahulu alam,pos,1
Se m o g ä Su kissers Selau!!!,5,se m o g ä su kissers selau!!!,se m o g su kissers selau,se sama o tidak su kissers selau,o tidak su kissers selau,o su kissers selau,o tidak su kissers selau,pos,1
"overall bagus, cuman barusan depo kok ga masuk ya min",5,"overall bagus, cuman barusan depo kok ga masuk ya min",overall bagus cuman barusan depo kok ga masuk ya min,overall bagus cuma barusan depo kok tidak masuk iya min,overall bagus barusan depo tidak masuk iya min,overall bagus barusan depo masuk iya min,overall bagus barusan depo tidak masuk iya min,pos,1
Saya suka aplikasi ini karena simple dan menarik,5,saya suka aplikasi ini karena simple dan menarik,saya suka aplikasi ini karena simple dan menarik,saya suka aplikasi ini karena simple dan menarik,suka aplikasi simple menarik,suka aplikasi simple menarik,suka aplikasi simple tarik,pos,0
"Bibit dan Stockbit, aplikasi yang bagus untuk pemula karena kita sekaligus diedukasi untuk lebih memahami cara berinvestasi saham dan reksadana.",5,"bibit dan stockbit, aplikasi yang bagus untuk pemula karena kita sekaligus diedukasi untuk lebih memahami cara berinvestasi saham dan reksadana.",bibit dan stockbit aplikasi yang bagus untuk pemula karena kita sekaligus diedukasi untuk lebih memahami cara berinvestasi saham dan reksadana,bibit dan stockbit aplikasi yang bagus untuk pemula karena kita sekaligus diedukasi untuk lebih memahami cara berinvestasi saham dan reksadana,bibit stockbit aplikasi bagus pemula diedukasi memahami berinvestasi saham reksadana,bibit stockbit aplikasi bagus pemula diedukasi memahami berinvestasi saham reksadana,bibit stockbit aplikasi bagus mula edukasi paham investasi saham reksadana,pos,2
"Aplikasi yang menyenangkan, keren saya kasih bintang 5.",5,"aplikasi yang menyenangkan, keren saya kasih bintang 5.",aplikasi yang menyenangkan keren saya kasih bintang,aplikasi yang menyenangkan keren saya kasih bintang,aplikasi menyenangkan keren kasih bintang,aplikasi menyenangkan keren kasih bintang,aplikasi senang keren kasih bintang,pos,0
Cukup bagus seta banyak ualasan pakar TA maupun FA,5,cukup bagus seta banyak ualasan pakar ta maupun fa,cukup bagus seta banyak ualasan pakar ta maupun fa,cukup bagus seta banyak ualasan pakar ta maupun fa,bagus seta ualasan pakar ta fa,bagus seta ualasan pakar ta fa,bagus seta ualasan pakar ta fa,pos,1
dapat pengalaman banyak. Pengalaman baik n buruk. But pengalaman guru terbaik,4,dapat pengalaman banyak. pengalaman baik n buruk. but pengalaman guru terbaik,dapat pengalaman banyak pengalaman baik n buruk but pengalaman guru terbaik,dapat pengalaman banyak pengalaman baik dan buruk but pengalaman guru terbaik,pengalaman pengalaman buruk but pengalaman guru terbaik,pengalaman pengalaman buruk but pengalaman guru terbaik,alam alam buruk but alam guru baik,pos,1
"Masih belajar, baru pemula",5,"masih belajar, baru pemula",masih belajar baru pemula,masih belajar baru pemula,belajar pemula,belajar pemula,ajar mula,pos,1
Makin bagus.. Semoga makin bagus kedepannya,5,makin bagus.. semoga makin bagus kedepannya,makin bagus semoga makin bagus kedepannya,makin bagus semoga makin bagus kedepannya,bagus semoga bagus kedepannya,bagus semoga bagus kedepannya,bagus moga bagus depan,pos,1
Easy to use and easy to learn 👍,5,easy to use and easy to learn 👍,easy to use and easy to learn,easy to use and easy to learn,easy to use and easy to learn,easy to use and easy to learn,easy to use and easy to learn,pos,1
Deposit masuk ke Balance LAMA tolong diperbaiki agar lebih cepat sehingga eksekusi saham bisa sat set sat set 😎,4,deposit masuk ke balance lama tolong diperbaiki agar lebih cepat sehingga eksekusi saham bisa sat set sat set 😎,deposit masuk ke balance lama tolong diperbaiki agar lebih cepat sehingga eksekusi saham bisa sat set sat set,deposit masuk ke balance lama tolong diperbaiki agar lebih cepat sehingga eksekusi saham bisa sat set sat set,deposit masuk balance tolong diperbaiki cepat eksekusi saham sat set sat set,deposit masuk balance tolong diperbaiki cepat eksekusi saham sat set sat set,deposit masuk balance tolong baik cepat eksekusi saham sat set sat set,pos,6
